"occ_id","smell","severity","code_name","snippet_lines","review_excerpt","judge_justification","author_denial_type","author_reason","author_long_method_main_issue","author_oracle_inconsistent","author_judge_error","author_notes"
"8254","feature envy","major","org.apache.commons.net.discard.DiscardUDPClient#send byte[]|int|InetAddress|int","9","**4. Interaction with Other Classes** The methods do not exhibit ""feature envy."" All operations performed within the methods are directly related to the class's own state or its immediate superclass (`_socket_` from `DatagramSocketClient`). There is no excessive reliance on the internals of other objects, nor is there logic that would be more appropriately placed in another class.","The response explicitly denies the presence of Feature Envy in the targeted method, which is confirmed by the oracle, making the response misleading.","with_reason","operations relate to own state and the inherited socket","no","no","no",""
"8527","feature envy","major","jdk.management.jfr.ConfigurationInfo.ConfigurationInfo CompositeData","8","**2. No Evidence of Feature Envy or Misplaced Logic** All methods that operate on the internal state do so in a way that is appropriate for this class. The only non-trivial method, `createMap`, is a private static helper that converts JMX data into a map for internal use. There is no logic here that seems to ""want to be"" on another class, nor is there any excessive interaction with external objects' internals. *Evidence:* - `createMap` is only used in the private constructor from `CompositeData…","The response denies the presence of the confirmed Feature Envy smell in the targeted constructor, which is misleading per the codebook.","with_reason","DTO construction; does not violate encapsulation boundaries","no","no","no",""
"9274","feature envy","major","org.apache.flink.graph.types.valuearray.DoubleValueArray#write DataOutputView","8","**3. Data Exposure and Lack of Behavior in `DoubleValueArray`** The class is primarily a data holder for an array of doubles, with methods for serialization, copying, and comparison. However, it does not provide higher-level operations or encapsulate any domain-specific logic beyond array management. All manipulation is at the level of raw doubles, and the class exposes its contents only via iteration or copying. *Why it matters*: While not a pure data class (since it does provide some behavior…","The response does not mention Feature Envy in the targeted snippet (`write(DataOutputView out)`), nor does it deny the presence of a smell in that snippet, but instead discusses Feature Envy only in other methods (`copyTo` and `addAll`), and does not provide any signal about the presence or absence of a smell in the oracle's granularity—thus, no signal usable to guide a reader toward the oracle.","not_discussed","","yes","no","no",""
"9351","feature envy","critical","sun.nio.fs.WindowsSecurity.openProcessToken int","7","**4. No Evidence of Feature Envy or Data Class Smells** All methods in this class operate on Windows security tokens and privileges, which are the core responsibility of the class. There is no evidence of methods that are more interested in the data or behavior of other classes, nor are there any data classes present.","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is a misleading signal per the codebook.","with_reason","all methods operate on Windows tokens and privileges, the class's core responsibility","yes","no","no",""
"9477","feature envy","major","org.apache.pig.PigServer.PigServer PigContext|boolean","74","**6. General Observations** - While the class is large, it is not a pure data class; it does encapsulate significant behavior. - There is no evidence of methods that are more interested in the data of other classes than their own (i.e., no clear ""feature envy""). - The main concern is the size and complexity of some methods, which could be improved by further decomposition and encapsulation.","The response explicitly denies the presence of Feature Envy in the targeted snippet, which is misleading given the oracle confirms a major Feature Envy smell.","with_reason","class encapsulates significant behavior; no method more interested in another class","yes","no","no",""
"9728","feature envy","major","com.facebook.buck.core.model.impl.InMemoryBuildFileTree.collectBasePaths Iterable<? extends BuildTarget>","5","**Conclusion** Overall, the class is well-structured and focused on its core responsibility. However, the inner `Node` class is at risk of becoming a passive data holder, with all logic implemented externally. Encapsulating more behavior within `Node` would improve maintainability and cohesion. Additionally, extracting tree-building logic from the constructor would enhance readability. No excessively long methods or misplaced feature logic were found, but the above points would help the codebas…","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, instead focusing on Data Class in a different class and other minor issues.","no_reason","","no","no","yes: review paraphrases Move Method for findParent/Node without naming Feature Envy; judge stopped at Step 6 instead of Step 2",""
"10606","feature envy","major","org.graalvm.visualvm.lib.profiler.snaptracer.impl.timeline.TimelineXYPainter#getSelectionBounds ItemSelection|ChartContext","14","**2. Data Manipulation Outside the Data Class** The private methods `getDataBounds`, `getViewBounds`, and `getViewBounds(XYItem, int, ChartContext)` perform calculations on `LongRect` and item data, such as scaling and coordinate translation. While this is necessary for rendering, much of the logic (e.g., scaling y-values by `dataFactor`, adjusting for `bottomBased`) operates directly on the data structures rather than delegating to the data classes themselves (`LongRect`, `XYItem`). If similar…","The response explicitly denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading given the oracle's ground truth.","with_reason","interacts with XYItem/LongRect/ChartContext only as needed for painting","no","no","no",""
"10700","feature envy","major","com.facebook.buck.cli.AuditRulesCommand#runWithoutHelp CommandRunnerParams","59","**4. No Evidence of Feature Envy or Data Class Smells** Upon review, there are no methods that appear to operate primarily on data from another class (feature envy), nor are there any classes that are pure data holders with only getters/setters (data class). The command class does not expose its fields for manipulation by others, and its methods operate on its own state or orchestrate external collaborators appropriately.","The response explicitly denies the presence of the confirmed target smell (Feature Envy), which is misleading per the oracle.","with_reason","methods operate on own state or orchestrate collaborators appropriately","yes","no","no",""
"10804","feature envy","major","org.apache.qpid.server.security.access.config.AclFileParser.parse Reader|EventLoggerProvider","137","**5. No evidence of feature envy or data class issues** The class does not exhibit feature envy, as it does not operate extensively on the internals of other objects beyond what is necessary for parsing. It is also not a data class, as it contains only static methods and no fields.","The response denies the presence of the confirmed target smell (Feature Envy), which is misleading per the codebook.","with_reason","does not operate on other objects' internals beyond what parsing requires","yes","no","no",""
"10919","feature envy","major","org.apache.camel.component.disruptor.DisruptorComponent#createEndpoint String|String|Map<String, Object>","45","**2. The Class Holds Both Data and Behavior, but No Evidence of Data Class or Feature Envy** The class is not a data class: it encapsulates both configuration data and the logic for managing disruptor references and endpoints. All configuration fields are private and accessed via getters/setters, and the behavioral methods operate on the class's own data. There is no evidence of methods that operate primarily on data from other classes (feature envy), nor is the class reduced to a passive data …","The response explicitly denies the presence of Feature Envy in the targeted snippet, which is confirmed by the oracle, so this is classified as Misleading.","with_reason","methods operate on the component's own state or on parameters","yes","no","no",""
"12805","feature envy","major","org.eclipse.elk.alg.radial.options.#create","11","2. **No Evidence of Feature Envy or Data Class Issues**","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","enum encapsulates its own factory logic; no manipulation of other classes' data","no","yes: 11-line enum factory that switches on `this` and constructs; accesses no other class's data","no",""
"14835","feature envy","major","org.apache.fop.svg.AbstractFOPImageElementBridge#createImageGraphicsNode BridgeContext|Element|ParsedURL","62","**2. The `createImageGraphicsNode` method is tightly coupled to image type details** Within `createImageGraphicsNode`, the method performs explicit type checks (`instanceof`) for `ImageXMLDOM`, `ImageRawJPEG`, `ImageRawCCITTFax`, and `ImageGraphics2D`, and then dispatches to different node creation logic. This approach means that the bridge class is highly aware of the internal structure and types of images, rather than delegating this responsibility to the image classes themselves or to a more…","The response explicitly denies the presence of the confirmed Feature Envy smell in the targeted method, which is misleading per the oracle.","not_discussed","","yes","no","yes: review affirms an FE paraphrase for the target method ('more interested in the details of the Image subclasses') and denies FE only for the inner classes; judge read the scoped denial as covering the target",""
"15149","feature envy","major","org.apache.aries.spifly.statictool.Main.weaveDir File|String|String|String","51","**5. No Evidence of Feature Envy or Data Class Smells** Upon review, there are no methods that appear to operate primarily on the data of another class (feature envy), nor are there any classes that are mere data holders with only getters/setters (data class). All methods in `Main` operate on parameters or local variables, and there are no POJOs or DTOs present.","The response denies the presence of the confirmed Feature Envy smell in the targeted snippet, which is misleading per the oracle.","with_reason","all methods operate on parameters or local variables","yes","no","no",""
"804","long method","major","org.eclipse.orion.server.cf.loggregator.LoggregatorMessage.Message.Builder#mergeFrom com.google.protobuf.CodedInputStream|com.google.protobuf.ExtensionRegistryLite","66","**Review Comments** 1. **Class Structure and Responsibility** The `LoggregatorMessage` class and its nested types (`Message`, `Envelope`, and their builders) are tightly focused on representing and transporting structured data as defined by the protobuf schema. There is no domain logic or business behavior beyond serialization, deserialization, and field access. This is expected and appropriate for generated protobuf classes, which are intended to be data carriers. **No issues found here.** 2. …","The response explicitly denies the presence of the confirmed Long Method smell in the targeted snippet, which is misleading per the codebook.","with_reason","generated protobuf code; length inherent to codegen","no","no","no",""
"1673","long method","major","com.facebook.buck.distributed.thrift.FetchRuleKeyLogsRequest.FetchRuleKeyLogsRequestStandardScheme#read org.apache.thrift.protocol.TProtocol|FetchRuleKeyLogsRequest","62","**2. No Evidence of Feature Envy or Long Methods** Upon review, there are no methods in this class that operate extensively on the internals of other classes, nor are there any methods that are excessively long or complex. The methods are all short and focused on field access or serialization, as is typical for Thrift-generated code. There is no evidence of ""feature envy"" (methods that should belong to another class) or ""long method"" smells.","The response explicitly denies the presence of a Long Method smell in the targeted snippet, which is confirmed by the oracle, making the response misleading.","with_reason","generated Thrift code; methods described as short and focused","no","no","no",""
"3204","long method","critical","D.m","6","At present, the code is minimal and does not exhibit any acute issues related to long methods or misplaced logic, but the prevalence of empty classes suggests a risk of data classes and misplaced behavior as the codebase evolves. As functionality is added, ensure that behavior is co-located with the data it operates on, and that classes take responsibility for their own invariants and logic. This will help maintain a clean, maintainable design.","The response denies the presence of the confirmed Long Method smell in D.m, which is misleading per the oracle.","with_reason","length acceptable; code is minimal","no","yes: 6-line method (4 statements) in an AspectJ test fixture","no",""
